汽车品牌,车型,售价,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12,2025-08-19,2025-08-26,2025-09-02,2025-09-09,2025-09-16
比亚迪,宋Pro新能源,10.28-14.28万,3806.0,4833.0,5352.0,396.0,2242.0,3356.0,4763.0,5465.0,4680.0,4846.0,4544.0,4518.0,3340.0,3222.0,3230.0,3423.0,3993.0,3949.0,2776.0,2691.0,3077.0,2929.0,3979.0,5469.0,6123.0,2786.0,2283.0,2725.0,2927.0,2868.0,2805.0,3007.0,3022.0,2863.0,2093.0,2586.0,2883.0
比亚迪,护卫舰07,17.98-25.98万,61.0,79.0,73.0,7.0,26.0,48.0,37.0,22.0,35.0,27.0,22.0,32.0,33.0,21.0,16.0,18.0,16.0,19.0,18.0,8.0,9.0,10.0,20.0,6.0,12.0,9.0,12.0,6.0,10.0,1.0,4.0,3.0,3.0,4.0,3.0,7.0,2.0
比亚迪,比亚迪D1,16.08-16.98万,1.0,3.0,6.0,0.0,4.0,2.0,5.0,7.0,4.0,14.0,4.0,17.0,14.0,0.0,2.0,0.0,3.0,14.0,2.0,2.0,77.0,9.0,10.0,11.0,7.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0
比亚迪,比亚迪F0,3.69-5.39万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
比亚迪,比亚迪M9,22.98-24.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,5.0,8.0
比亚迪,比亚迪e1,5.99-7.99万,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
比亚迪,比亚迪e2,8.98-14.78万,14.0,30.0,27.0,0.0,34.0,88.0,5.0,279.0,172.0,66.0,52.0,72.0,79.0,47.0,34.0,6.0,9.0,63.0,3.0,7.0,129.0,63.0,92.0,7.0,21.0,29.0,5.0,126.0,11.0,5.0,3.0,76.0,178.0,93.0,161.0,211.0,215.0
比亚迪,比亚迪e3,15.48-15.58万,5.0,7.0,25.0,0.0,32.0,17.0,53.0,10.0,5.0,10.0,4.0,4.0,38.0,0.0,12.0,13.0,22.0,6.0,9.0,16.0,26.0,25.0,28.0,20.0,20.0,38.0,13.0,9.0,41.0,23.0,14.0,5.0,7.0,22.0,28.0,18.0,12.0
比亚迪,比亚迪e6,26.98万,26.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,54.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,18.0,9.0,6.0,0.0,0.0,11.0,6.0,16.0
比亚迪,比亚迪e7,10.38-13.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,144.0,133.0,164.0,132.0,154.0,155.0,219.0,203.0,228.0,258.0,248.0,287.0,250.0,296.0,313.0
比亚迪,比亚迪e9,16.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
比亚迪,汉,16.58-23.58万,3439.0,4060.0,4624.0,309.0,1539.0,2501.0,3386.0,3647.0,3260.0,3459.0,3466.0,4068.0,2558.0,2919.0,2503.0,2691.0,2421.0,2642.0,2052.0,2041.0,2266.0,2025.0,2909.0,3298.0,2867.0,1878.0,1557.0,1660.0,1936.0,1887.0,1641.0,1834.0,1837.0,1742.0,1378.0,1534.0,1545.0
比亚迪,汉L,20.98-27.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,1083.0,1398.0,984.0,1251.0,1123.0,1026.0,1056.0,785.0,956.0,1093.0,1029.0,628.0,528.0,459.0,536.0,475.0,444.0,515.0,538.0,512.0,386.0,515.0,541.0
比亚迪,海狮05 DM-i,10.28-14.28万,808.0,1082.0,1230.0,94.0,429.0,694.0,926.0,972.0,821.0,1043.0,918.0,966.0,720.0,766.0,822.0,804.0,658.0,831.0,550.0,556.0,614.0,620.0,740.0,750.0,692.0,510.0,438.0,496.0,604.0,624.0,451.0,586.0,560.0,504.0,374.0,356.0,670.0
比亚迪,海狮05 EV,11.78-13.78万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,1067.0,1537.0,2217.0,2865.0,2214.0,2270.0,2883.0,2969.0,3241.0,2419.0,3070.0,3661.0,3748.0,2590.0,2141.0,2122.0,2397.0,2252.0,1809.0,2285.0,2911.0,2448.0,1766.0,2356.0,2564.0
比亚迪,海狮06新能源,13.98-16.38万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,1146.0,4801.0,4594.0,5841.0,6517.0,6702.0,4518.0,6209.0,6934.0
比亚迪,海狮07 DM-i,16.98-20.58万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,142.0,254.0,284.0,278.0,422.0,442.0,340.0,247.0,236.0,204.0,247.0,280.0,213.0,252.0,246.0,190.0,132.0,173.0,156.0
比亚迪,海狮07 EV,18.98-23.98万,438.0,584.0,581.0,36.0,195.0,366.0,551.0,654.0,580.0,686.0,775.0,790.0,663.0,741.0,709.0,880.0,654.0,736.0,531.0,527.0,606.0,546.0,700.0,834.0,721.0,483.0,384.0,382.0,401.0,403.0,349.0,412.0,360.0,331.0,330.0,424.0,419.0
比亚迪,海豚,9.98-12.98万,1106.0,1409.0,1645.0,160.0,1123.0,1564.0,1815.0,1890.0,2061.0,2878.0,2786.0,2770.0,2035.0,2063.0,2002.0,2354.0,3045.0,3628.0,2831.0,2708.0,3112.0,2804.0,3957.0,5180.0,4863.0,3377.0,2737.0,2697.0,2967.0,2789.0,2218.0,2770.0,3702.0,4416.0,3249.0,4650.0,4856.0
比亚迪,海豹,17.58-23.98万,145.0,192.0,225.0,10.0,77.0,160.0,179.0,227.0,709.0,266.0,873.0,293.0,242.0,749.0,212.0,743.0,143.0,216.0,143.0,139.0,168.0,136.0,134.0,162.0,134.0,106.0,74.0,100.0,104.0,104.0,75.0,89.0,94.0,80.0,68.0,89.0,68.0
比亚迪,海豹05 DM-i,7.98-10.38万,0.0,0.0,0.0,0.0,0.0,88.0,279.0,422.0,523.0,568.0,615.0,634.0,505.0,626.0,637.0,896.0,1575.0,1794.0,1550.0,1645.0,1981.0,1991.0,2365.0,2889.0,2706.0,1917.0,1788.0,2016.0,2238.0,2313.0,2265.0,2956.0,3323.0,3491.0,2273.0,2251.0,2822.0
比亚迪,海豹06GT,13.68-18.68万,922.0,1212.0,1276.0,89.0,560.0,1069.0,1543.0,1969.0,1854.0,1727.0,1664.0,1798.0,1034.0,1056.0,1025.0,1133.0,1060.0,1401.0,1046.0,973.0,1070.0,966.0,1097.0,1265.0,1260.0,907.0,796.0,767.0,901.0,878.0,660.0,780.0,914.0,856.0,540.0,839.0,793.0
